RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6039,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3728,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3289,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2113,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2057,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2966,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4641,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2993,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2981,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6889,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3494,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2927,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5591,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3249,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5134,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4848,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
10384,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3994,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4866,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4145,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5735,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3675,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3631,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
