RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3002,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1542,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1641,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3076,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3280,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1900,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3117,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3763,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2069,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2643,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2109,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2469,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1855,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3949,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2275,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2189,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2245,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
