RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9802,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3465,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5296,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4626,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4751,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6816,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3122,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6811,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4774,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3003,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3067,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
11849,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5294,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
10818,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5626,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
