RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
6195,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3616,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2873,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2110,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
6828,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
5056,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3153,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3295,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2569,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4757,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3916,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2686,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4581,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3999,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2465,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4952,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
