RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2273,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3843,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2846,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4073,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4422,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3782,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3199,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2200,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
1876,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4105,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3182,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4785,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3544,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4991,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3092,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5112,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2824,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
