RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2545,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2101,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1686,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1975,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2301,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1620,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1855,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1857,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2356,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2176,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3488,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2308,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1435,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2062,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2746,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2537,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
5255,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2725,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1968,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1549,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1611,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2658,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1987,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1746,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2567,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1841,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2112,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1619,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2871,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3641,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1659,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2686,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3700,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2537,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2253,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3533,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3939,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1818,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1588,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1746,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3886,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1419,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1858,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1792,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1818,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1481,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1798,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2222,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2523,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1692,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2478,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4034,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1906,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2549,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2767,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1855,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1602,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1856,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2301,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1376,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2310,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
