RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2659,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2593,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2528,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3602,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4298,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
29015,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2688,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2994,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3297,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2894,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3076,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3662,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3459,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2776,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4642,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3466,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
11302,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
9625,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3576,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
6159,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
10641,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3070,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2333,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
